left_wrist_angle,right_wrist_angle,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle,left_hip_angle,right_hip_angle,name_yoga
163.1313099,189.7835575,203.8488387,159.6440782,154.994048,174.1331936,180.275781,330.4000417,166.051159,215.4349326,272.0889661,205.5130783,tree
226.7675071,138.6019244,324.7588816,44.2672926,54.33779595,27.22073015,188.1041956,31.99458419,158.5788049,134.6609998,87.20394444,152.0700033,tree
164.7677764,153.0468835,185.3599301,179.2940962,187.008147,184.1626088,184.1148407,182.8892868,123.8785014,124.9424614,33.45129939,145.5471195,tree
187.2945674,176.9193444,166.0340362,198.2030569,188.6636407,176.3649653,181.1022273,41.96801428,173.2465776,174.844105,97.11530671,128.6429657,tree
180.5891255,192.2496826,158.8359105,215.1298847,197.5702695,166.9347286,186.8743263,23.52805996,190.4842146,160.2183751,90.40639514,151.5260128,tree
186.1703291,173.8006598,155.5125316,202.8656359,179.6823124,179.5080169,180.0217613,46.64480789,182.2811562,159.2988934,87.15692914,149.5355253,tree
210.6354429,153.837365,275.3046838,87.26806258,69.96081828,61.72022694,181.5504632,24.76206211,165.800692,151.9225562,82.68702095,151.61375,tree
166.0000006,184.4639756,131.223332,233.1966481,173.0425418,23.06870764,189.0111017,10.69322159,216.4875782,135.5324449,95.05202951,140.0012729,tree
166.1523264,190.0650342,168.0280517,190.9702834,145.8334765,136.4628479,181.7927284,30.07930896,192.6274006,175.4297021,98.19881747,142.9336388,tree
184.6001896,133.2385321,346.0966787,61.66980825,37.3421076,358.7254104,173.2009829,28.13287521,169.6668889,141.2803487,85.79393704,140.2239975,tree
178.5257261,172.8104423,173.3615948,179.3320875,138.8086988,158.4009437,339.7939223,180.5794773,199.5596271,219.1829569,131.4214479,91.75081536,tree
152.2005811,224.5453353,142.0407642,211.5489018,170.4647286,182.8508325,339.2373177,184.8600726,224.1341361,172.5065768,149.5770752,84.09232818,tree
224.0581521,144.8382057,311.8642345,37.29667976,27.42207365,29.27240723,177.8883097,29.30076522,200.2471174,163.9832947,92.15648823,144.6748088,tree
227.1224892,139.6018974,302.0079226,51.06867517,37.38945029,33.92862358,183.9551741,25.95232397,179.8580771,165.9860015,92.32501465,135.5529274,tree
114.851203,231.9188103,164.9413527,195.3128703,179.0417783,182.8952939,327.7991153,181.4020478,210.2342979,199.7920052,121.8185061,102.951644,tree
176.0675521,197.1530938,182.4543228,177.5368146,180.0252535,173.5162523,177.0788052,36.75545618,194.369168,162.9810926,86.81499029,136.2107921,tree
227.2309418,146.1254554,313.954042,46.6776965,26.82770763,26.59929934,321.7375698,177.6953873,198.792187,186.5300847,134.4098752,102.0206974,tree
128.3831342,231.1940072,146.1280756,213.2968288,171.3486637,177.3416914,327.7616587,179.0864552,203.5195187,191.5644115,103.3946063,107.1167746,tree
213.0104944,149.1794696,323.6396753,36.39686704,23.00494151,17.98641191,178.9710332,36.9066766,180.5278141,148.4674999,98.54524725,117.5245496,tree
199.8823384,155.7854409,96.52318236,259.339933,155.7065457,167.1649971,327.8732169,169.5528374,208.7919831,209.5545513,146.3344723,89.22075059,tree
214.1504362,141.6665635,322.603717,41.92369286,20.93222622,17.91820363,180.5641776,108.4384804,178.093706,177.2974504,103.5777044,104.2615037,tree
174.3326329,178.965494,139.3106741,221.1519046,179.8272177,179.8295884,339.6081118,179.075081,235.3045811,177.9103126,146.3860614,84.25447245,tree
145.685044,216.5269256,102.5645539,252.2286454,166.9174857,161.0627085,162.5848769,32.71874465,180.7859654,162.9139323,90.79825071,138.0476545,tree
177.8652675,184.2936819,171.6138278,184.288387,161.0600043,157.0612892,183.3372668,41.02325347,204.7827912,171.1964114,97.0221926,132.7222117,tree
166.0000006,184.4639756,131.223332,233.1966481,173.0425418,23.06870764,189.0111017,10.69322159,216.4875782,135.5324449,95.05202951,140.0012729,tree
